experiment,arm,target,target_scale,boundary,fit_masks,holdout_masks,fit_masks_sha256,holdout_masks_sha256,lds,rmse,constant_rmse,rmse_ratio,requested_tokens,achieved_tokens,sources,nonzero_coefficients,bootstrap_refits,bootstrap_draws,bootstrap_replace,source_analysis,internal_analysis_sha256,selected_regions
task9-regional-development-7616b29-v1,primary,max-accepted-reference-mean-loglikelihood,mean-token-log-probability,B_13,64,32,e5b3c52ed1c826bd1b01ac783a55ddd5e5b278099034b57523d429fe3c635a94,87e2a82cba2106a9261fb859b4693b2e6fe16902c506166fcc5e328ebf9bd16f,0.8878299120234603,0.24043597646895476,1.0162899764963313,0.23658206026773965,2689,2689,95,45,5,64,True,/scratch/lmalveau/docprune/task9-regional-development-7616b29-v1/analysis.json,95ead2d334542606bdaa0fac517a851fb163bc84325b7c751048f348e5e5224b,
task9-regional-development-7616b29-v1,secondary,unpruned-generated-response-mean-loglikelihood,mean-token-log-probability,B_13,64,32,e5b3c52ed1c826bd1b01ac783a55ddd5e5b278099034b57523d429fe3c635a94,87e2a82cba2106a9261fb859b4693b2e6fe16902c506166fcc5e328ebf9bd16f,0.5879765395894427,0.9825739081690632,0.9332444565813031,1.0528580172535562,2689,2689,95,57,5,64,True,/scratch/lmalveau/docprune/task9-regional-development-7616b29-v1/analysis.json,95ead2d334542606bdaa0fac517a851fb163bc84325b7c751048f348e5e5224b,
task9-paired-256-diagnostics-c49abb5-v2,b13,unpruned-generated-response-mean-loglikelihood,contextcite-sequence-logit-per-generated-token,B_13,256,64,71fb434a80ecb345bf52a1e0a854e16d703f8c5ef49c4bf3ca15fd66fc39dcc3,ef3bcf894b4e13ba1de9f5179e585fb601f7eab5e2f7f4d559939766e112bfe5,0.7159340659340658,0.9790532062091022,1.3407957025863322,0.7302031206697295,2689,2689,95,77,5,256,True,/scratch/lmalveau/docprune/task9-paired-256-diagnostics-c49abb5-v2/analysis.json,4d5f27cfd8a069ed8fff976a24b1529780b6f0a9430c5b53949bd9ddf3e40605,64
task9-paired-256-diagnostics-c49abb5-v2,input,unpruned-generated-response-mean-loglikelihood,contextcite-sequence-logit-per-generated-token,B_input,256,64,71fb434a80ecb345bf52a1e0a854e16d703f8c5ef49c4bf3ca15fd66fc39dcc3,ef3bcf894b4e13ba1de9f5179e585fb601f7eab5e2f7f4d559939766e112bfe5,0.6488553113553113,0.8893199311430566,1.1960054791828736,0.7435751312365655,2689,2689,95,70,5,256,True,/scratch/lmalveau/docprune/task9-paired-256-diagnostics-c49abb5-v2/analysis.json,4d5f27cfd8a069ed8fff976a24b1529780b6f0a9430c5b53949bd9ddf3e40605,65
task9-paired-256-accepted-answer-0d40fad-v1,b13,max-accepted-reference-mean-loglikelihood,normalized-full-sequence-loglikelihood,B_13,256,64,71fb434a80ecb345bf52a1e0a854e16d703f8c5ef49c4bf3ca15fd66fc39dcc3,ef3bcf894b4e13ba1de9f5179e585fb601f7eab5e2f7f4d559939766e112bfe5,0.9148351648351647,0.19368087338989468,0.9942792593403827,0.19479524647671417,2689,2689,95,44,5,256,True,/scratch/lmalveau/docprune/task9-paired-256-accepted-answer-0d40fad-v1/analysis.json,2e695fbb4413392bf8dae633294174881458c4d2fcfe3ced67a3996cdd3e65fc,71
task9-paired-256-accepted-answer-0d40fad-v1,input,max-accepted-reference-mean-loglikelihood,normalized-full-sequence-loglikelihood,B_input,256,64,71fb434a80ecb345bf52a1e0a854e16d703f8c5ef49c4bf3ca15fd66fc39dcc3,ef3bcf894b4e13ba1de9f5179e585fb601f7eab5e2f7f4d559939766e112bfe5,0.8995421245421243,0.21934655859013333,1.0095033087746832,0.2172816638475135,2689,2689,95,50,5,256,True,/scratch/lmalveau/docprune/task9-paired-256-accepted-answer-0d40fad-v1/analysis.json,2e695fbb4413392bf8dae633294174881458c4d2fcfe3ced67a3996cdd3e65fc,68
