stratum,arm,n,f1_fraction,f1_points,exact_count,exact_fraction,mean_gold_loglikelihood,status
baseline_correct,contextcite_gold_support,24,1.0,100.0,24,1.0,-0.38131642718993436,historical development scorer; not adjudicated correction rate
baseline_correct,native_docprune,24,1.0,100.0,24,1.0,-0.4594695398991462,historical development scorer; not adjudicated correction rate
baseline_correct,random_region_size_aware,24,0.9166666666666666,91.66666666666666,22,0.9166666666666666,-0.5733739522014124,historical development scorer; not adjudicated correction rate
baseline_correct,unpruned,24,1.0,100.0,24,1.0,-0.44682667098823003,historical development scorer; not adjudicated correction rate
baseline_wrong,contextcite_gold_margin,24,0.36874999999999997,36.875,5,0.20833333333333334,-1.5312888223367433,historical development scorer; not adjudicated correction rate
baseline_wrong,contextcite_gold_support,24,0.38125000000000003,38.125,4,0.16666666666666666,-1.4350289556508262,historical development scorer; not adjudicated correction rate
baseline_wrong,native_docprune,24,0.1375,13.750000000000002,0,0.0,-2.0336508924762406,historical development scorer; not adjudicated correction rate
baseline_wrong,random_region_size_aware,24,0.15416666666666667,15.416666666666668,0,0.0,-2.1761599835008383,historical development scorer; not adjudicated correction rate
baseline_wrong,unpruned,24,0.16583333333333333,16.583333333333332,0,0.0,-1.9315266255289316,historical development scorer; not adjudicated correction rate
